[2026-03-03 23:24:00,560] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Starting OCR Processor: task_id=E2E-202603032315, item_ids=None, device=auto, dry_run=False, force=False, lang=ch, workers=1
[2026-03-03 23:24:00,561] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Initialize PaddleOCR with device=cpu, lang=ch
[2026-03-03 23:24:05,189] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_000.jpg, lines=5
[2026-03-03 23:24:09,051] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_002.jpg, lines=3
[2026-03-03 23:24:12,572] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_003.jpg, lines=3
[2026-03-03 23:24:16,034] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_004.jpg, lines=3
[2026-03-03 23:24:19,648] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_005.jpg, lines=3
[2026-03-03 23:24:23,208] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_006.jpg, lines=2
[2026-03-03 23:24:26,613] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_007.jpg, lines=3
[2026-03-03 23:24:29,852] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_008.jpg, lines=1
[2026-03-03 23:24:33,150] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_011.jpg, lines=2
[2026-03-03 23:24:36,503] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_012.jpg, lines=3
[2026-03-03 23:24:39,983] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_014.jpg, lines=5
[2026-03-03 23:24:43,456] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_015.jpg, lines=4
[2026-03-03 23:24:46,729] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_018.jpg, lines=2
[2026-03-03 23:24:50,035] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_022.jpg, lines=2
[2026-03-03 23:24:53,460] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_023.jpg, lines=4
[2026-03-03 23:24:56,878] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_032.jpg, lines=4
[2026-03-03 23:25:00,183] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_034.jpg, lines=2
[2026-03-03 23:25:03,524] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_036.jpg, lines=3
[2026-03-03 23:25:06,803] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678470530/frame_038.jpg, lines=2
[2026-03-03 23:25:06,804] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116165678470530:E2E-202603032315 (chars=367)
[2026-03-03 23:25:11,825] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678472019/frame_000.jpg, lines=19
[2026-03-03 23:25:16,183] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165678472019/frame_022.jpg, lines=15
[2026-03-03 23:25:16,184] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116165678472019:E2E-202603032315 (chars=352)
[2026-03-03 23:25:21,893] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165292660050/frame_000.jpg, lines=23
[2026-03-03 23:25:28,414] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165292660050/frame_009.jpg, lines=27
[2026-03-03 23:25:32,875] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165292660050/frame_017.jpg, lines=17
[2026-03-03 23:25:35,705] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165292660050/frame_024.jpg, lines=3
[2026-03-03 23:25:38,297] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165292660050/frame_028.jpg, lines=1
[2026-03-03 23:25:40,925] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165292660050/frame_034.jpg, lines=1
[2026-03-03 23:25:40,926] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116165292660050:E2E-202603032315 (chars=1010)
[2026-03-03 23:25:44,512] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_000.jpg, lines=0
[2026-03-03 23:25:47,700] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_001.jpg, lines=1
[2026-03-03 23:25:50,945] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_004.jpg, lines=2
[2026-03-03 23:25:54,017] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_007.jpg, lines=0
[2026-03-03 23:25:57,231] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_012.jpg, lines=2
[2026-03-03 23:26:00,627] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_016.jpg, lines=4
[2026-03-03 23:26:03,740] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_018.jpg, lines=0
[2026-03-03 23:26:06,847] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_020.jpg, lines=0
[2026-03-03 23:26:09,940] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_022.jpg, lines=0
[2026-03-03 23:26:13,207] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_024.jpg, lines=2
[2026-03-03 23:26:16,638] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116165057709601/frame_027.jpg, lines=1
